id,label
1,frog
2,truck
3,truck
4,deer
5,automobile
6,automobile
7,bird
8,horse
9,ship
10,cat
11,deer
12,horse
13,horse
14,bird
15,truck
16,truck
17,truck
18,cat
19,bird
20,frog
21,deer
22,cat
23,frog
24,frog
25,bird
26,frog
27,cat
28,dog
29,deer
30,airplane
31,airplane
32,truck
33,automobile
34,cat
35,deer
36,airplane
37,cat
38,horse
39,cat
40,cat
41,dog
42,bird
43,bird
44,horse
45,automobile
46,automobile
47,automobile
48,bird
49,bird
50,airplane
51,truck
52,dog
53,horse
54,truck
55,bird
56,bird
57,dog
58,bird
59,deer
60,cat
61,automobile
62,automobile
63,ship
64,bird
65,automobile
66,automobile
67,deer
68,truck
69,horse
70,ship
71,dog
72,truck
73,frog
74,horse
75,cat
76,automobile
77,truck
78,airplane
79,cat
80,automobile
81,cat
82,dog
83,deer
84,dog
85,horse
86,horse
87,deer
88,horse
89,truck
90,deer
91,bird
92,cat
93,ship
94,airplane
95,automobile
96,frog
97,automobile
98,automobile
99,deer
